Fecha,N1,N2,N3,N4,N5,E1,E2
2025-01-03,1,20,21,27,29,8,10
2025-01-07,1,16,20,23,44,5,9
2025-01-10,17,34,38,42,48,2,11
2025-01-14,10,11,17,20,30,2,6
2025-01-17,7,9,14,18,31,7,8
2025-01-21,3,17,22,28,40,4,9
2025-01-24,2,9,16,46,47,3,9
2025-01-28,2,7,28,43,46,5,12
2025-01-31,1,23,32,42,47,4,11
2025-02-04,10,18,21,41,42,3,9
2025-02-07,15,17,27,33,45,5,9
2025-02-11,3,12,22,28,47,1,12
2025-02-14,12,14,18,45,50,2,10
2025-02-18,1,9,14,19,44,2,3
2025-02-21,18,26,29,35,36,11,12
2025-02-25,28,31,38,42,48,3,10
2025-02-28,3,4,13,20,21,8,12
2025-03-04,4,12,35,37,48,4,10
2025-03-07,7,11,12,32,42,1,4
2025-03-11,15,18,22,23,44,1,11
2025-03-14,6,13,28,37,45,5,10
2025-03-18,1,7,14,47,50,3,7
2025-03-21,8,9,12,14,16,6,12
2025-03-25,3,11,30,35,50,4,5
2025-03-28,2,15,19,34,49,2,6
2025-04-01,12,17,39,41,50,9,12
2025-04-04,19,23,29,37,38,2,8
2025-04-08,17,39,40,41,47,5,8
2025-04-11,2,26,27,28,49,1,10
2025-04-15,8,11,13,33,35,1,10
2025-04-18,7,8,12,29,44,3,12
2025-04-22,10,16,23,29,38,3,5
2025-04-25,13,14,40,43,45,5,8
2025-04-29,17,21,27,30,34,8,11
2025-05-02,3,15,22,33,35,1,7
2025-05-06,1,21,22,46,49,9,10
2025-05-09,1,5,27,36,43,5,9
2025-05-13,14,16,19,33,34,5,12
2025-05-16,6,8,15,27,39,6,12
2025-05-20,8,19,20,21,28,7,10
2025-05-23,11,17,19,33,40,7,12
2025-05-27,6,9,17,25,41,4,10
2025-05-30,4,5,26,29,43,5,9
2025-06-03,6,8,19,26,30,1,12
2025-06-06,7,8,11,23,39,5,11
2025-06-10,1,17,20,28,42,2,12
2025-06-13,1,15,18,27,46,5,9
2025-06-17,10,13,15,33,35,7,12
2025-06-20,6,12,18,37,46,7,9
2025-06-24,20,31,35,40,44,3,4
2025-06-27,4,14,26,29,50,3,12
2025-07-01,1,9,10,12,14,6,8
2025-07-04,14,23,34,41,44,5,10
2025-07-08,21,27,29,34,43,6,10
2025-07-11,6,12,13,43,46,6,11
2025-07-15,13,28,33,37,45,6,11
2025-07-18,10,12,21,25,39,2,4
2025-07-22,5,20,42,46,48,7,8
2025-07-25,7,8,13,29,36,4,8
2025-07-29,20,21,38,43,49,6,11
2025-08-01,4,11,12,20,33,3,5
2025-08-05,1,18,21,22,34,1,6
2025-08-08,7,16,23,41,42,1,4
2025-08-12,11,16,29,37,42,1,11
2025-08-15,5,11,20,33,43,6,12
2025-08-19,3,4,11,33,47,6,9
2025-08-22,3,14,16,22,34,7,10
2025-08-26,8,14,21,26,35,4,8
2025-08-29,3,5,19,23,48,1,5
2025-09-02,1,5,12,38,47,7,8
2025-09-05,6,14,25,29,46,7,11
2025-09-09,14,18,24,27,50,8,9
2025-09-12,7,22,24,33,45,4,12
2025-09-16,8,9,14,37,39,1,9
2025-09-19,9,37,40,41,46,1,12
